Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
Qd6,e3 d5 Qf3 Nf6 Bb5+ c6 Ba4 Bg4 Qf4 g6 h3 Bf5 Nc3 Bg7 Nf3 Nbd7 Ne5 Nxe5 Qxe5 O-O O-O,This is a mistake.,312,-48,-360.0,e5d6
bxc2,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nxc6 bxc6 Nc3 e5 Be2 Bb4 Bd2 O-O O-O a5 a3 Bc5 Bg5 a4 b3 axb3 Bc1 Bd4 Bd2 Nxe4 Qe1 Nxd2 Qxd2 Qa5 Ne4 Bxa1 Qxa5 Rxa5 Rxa1,"We could stop here because Black is up five points, which should be an easy win, but the continuation is interesting because of the c2 pawn. If 20. Kf1 Rxa3.",613,-624,-1237.0,"a1c1, a5a3, f2f4"
a3,e4 e5 Nf3 d6 Nc3 c6 d3 b5 b4 h6,I have no idea how to do it with what black is doing.,20,5,-15.0,"a7a5, a1b1, g8f6"
c6,c4 e5 Nc3 Nf6 g3,"English Opening, Carls-Bremen System, Keres Variation (ECO: A23)",-15,16,31.0,"g1f3, e5e4, f3d4"
Nb3,d4 Nf6 Bf4 g6 c3 Bg7 Nf3 O-O e4 Nxe4 Bd3 Nf6 Nbd2 d5 h3 e6 O-O Nbd7 Re1 c5 dxc5 Nxc5,White should not allow his best piece to be exchanged.,-121,127,248.0,"b7b6, b3c5"
Bxh6,e4 e5 Nc3 Na6 Nf3 Nf6 a3 Bc5 Qe2 O-O d3 d6 h3 Be6 Bg5 h6,Bishop,39,252,213.0,"g7h6, e2d2, f6h7"
Ng6+,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 O-O h6 a3 a5 d3 O-O Be3 Bxe3 fxe3 Ng4 Qe2 Kh8 Nd2 d6 Bxf7 Qe7 Nd5 Qh4 h3 Qg3 hxg4 Bxg4 Qf2 Qxf2+ Rxf2 Rac8 b4 a4 b5 Na7 Ne7 Rcd8,,648,-682,-1330.0,"h8h7, g6f8, d8f8"
Rfh1,Nf3 d5 c4 Nf6 cxd5 Nxd5 e4 Nf6 Nc3 Bg4 Qb3 b6 Bb5+ Bd7 Ne5 e6 Qa4 Bxb5 Qxb5+ Nbd7 d4 Bd6 Nxd7 Nxd7 e5 Be7 g3 O-O h4 a6 Qc4 b5 Qd3 Nxe5 Qe2 Nc6 Be3 Nxd4 Bxd4 Qxd4 O-O Bc5 Rad1 Qf6 Ne4 Qe5 Rdc1 Bb6 Nc3 Qxg3+ Kh1 Qxh4+ Kg2 Rad8,Helped by white cos again I'm looking at d2 so queen was always intending to shift and cover.,-555,790,1345.0,"h4g5, g2h3, d8d4"
f6,e4 e5 Nf3 Nc6 d4,Black weakens his left wing - Castling short might be dangerous.,-24,178,202.0,"f1c4, e5d4"
cxd4,e4 c5 Nf3 d6 d4,I take,-38,43,81.0,"f3d4, g8f6, b1c3"
h5,e4 e5 Nc3 Nc6 f4 exf4 Nf3 d6 d4 Nf6 Bxf4 Bg4 Bb5 a6 Be2 Bc8 O-O Be7 d5 Nb8 b4 O-O Qe1 b5 Nd4 Ng4 Nd1 Bf6 c3 Ne5 Ne3 Qe8 Bg3 Bg5 Bd1 Nbd7 Bc2 Bf6 Ndf5 Qd8 Qe2 Nb6 Nd4 Bg5 Bxe5 Bxe3+ Qxe3 Nc4 Qg3 Nxe5 Nf5 Bxf5 Rxf5 Qe7 Raf1 f6 h4 Kh8,"[30.Ld1 Die luie loper moet toch eens wat gaan doen, ja toch?]",-66,70,136.0,a6a5
Bc6,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3+ Qxc3 d6 Nf3 b6 e3 Bb7 Be2 e5 dxe5 dxe5 Qxe5 Re8 Qg3 Nc6 O-O Qc8 b3 Ne4 Qf4 Ne7 Qe5 Ng6 Qb2 c5 Bd2 Qf5 Bc3 Nxc3 Qxc3 Rad8 Rfd1,waiting move.,-113,111,224.0,"h2h3, h7h6, a1c1"
Bd4,e4 c6 Nf3 d5 d3 dxe4 Be3 exf3 Qxf3 Nf6 Nc3 Bg4 Qf4 Bd7 Be2 e6 O-O Be7 Rad1 Na6,I am not sure what the point of this move is. I think Rf-e1 is the logical move here for white.,-420,456,876.0,"e8g8, f4g3, f6e8"
